enclosingFolder3,enclosingFolder2,enclosingFolder1,filename,xVoxel,yVoxel,zVoxel,unit,xPixels,yPixels,zPixels,path,voxelVolume,genotype,sex,myCellNumber,nMask,vMask,nEroded,vEroded,nRing,vRing,nBranches,nInNoMask,nInMask,nInEroded,nInRing,lenTotal,lenInMask,lenInEroded,lenInRing,dInMask,dInEroded,dInRing
200414,WT Male,Cell 19,Male WTcell 19_3ADVMLEG1L1_ch2.tif,0.09635358528318463,0.09635358528318463,0.43000000000006366,micron,507,348,28,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 19/Male WTcell 19_3ADVMLEG1L1_ch2.tif,0.003992125760677883,wt,male,15,424399,1694.2541807059326,63665,254.1586865535574,282794,1128.9492123651412,1311,0,1311,151,924,1874.4372369422645,1874.4372369422645,195.0808235079962,1311.4546291160013,1.1063494830281346,7.375066586784848,1.6603379641988771
200414,WT Male,Cell 2,Male WT cell 2_3ADVMLEG1L1_ch2.tif,0.17263351389647996,0.17263351389647996,0.43000000000006366,micron,507,255,25,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 2/Male WT cell 2_3ADVMLEG1L1_ch2.tif,0.012815001951707738,wt,male,16,277822,3560.2894722273472,57752,740.0919927150253,164597,2109.3108762452384,900,113,787,175,377,1702.287260132319,1471.49868243292,302.4897719320498,683.227201403628,0.41330871939250996,1.9882645629426843,0.6976205826294885
200414,WT Male,Cell 20,Male WTcell 20_3ADVMLEG1L1_ch2.tif,0.1534519946917886,0.1534519946917886,0.43000000000006366,micron,508,256,32,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 20/Male WTcell 20_3ADVMLEG1L1_ch2.tif,0.010125431310203648,wt,male,17,190936,1933.3093526450439,22535,228.17659457543922,131186,1328.3148318603758,692,0,692,46,520,1173.6217137584104,1173.6217137584104,72.25870821419807,890.1222404989988,0.607053243782599,5.143479838246031,0.8835418272900639
200414,WT Male,Cell 21,Male WTcell 21_3ADVMLEG1L1_ch2.tif,0.19729543472174735,0.19729543472174735,0.43000000000006366,micron,507,205,28,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 21/Male WTcell 21_3ADVMLEG1L1_ch2.tif,0.01673796008168108,wt,male,18,170383,2851.8638525970678,38125,638.1347281140912,104348,1746.5726586032574,487,0,487,135,235,975.431289253505,975.431289253505,261.33945314341554,444.7535466605375,0.3420329088870152,1.5285663767841655,0.5584830865459455
200414,WT Male,Cell 22,Male WTcell 22_3ADVMLEG1L1_ch2.tif,0.18832746379404508,0.18832746379404508,0.43000000000006366,micron,502,236,25,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 22/Male WTcell 22_3ADVMLEG1L1_ch2.tif,0.015250910456214123,wt,male,19,187773,2863.7092090946944,26648,406.40626183719394,125743,1917.6952334957325,663,0,663,72,458,1319.8052917373227,1319.8052917373227,128.42100775028828,907.3043233858967,0.4608726638674858,3.2475023533619565,0.688224733880927
200414,WT Male,Cell 23,Male WTcell 23_3ADVMLEG1L1_ch2.tif,0.18832746379404508,0.18832746379404508,0.43000000000006366,micron,509,265,32,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 23/Male WTcell 23_3ADVMLEG1L1_ch2.tif,0.015250910456214123,wt,male,20,262680,4006.109158638326,60681,925.4404973935292,160149,2442.4180586522357,862,0,862,193,460,1650.209409410736,1650.209409410736,349.05475063919465,859.4204136712626,0.41192322626866246,1.783161007172793,0.6756457616110763
200414,WT Male,Cell 24,Male WTcell 24_3ADVMLEG1L1_ch2.tif,0.14286910304205466,0.14286910304205466,0.43000000000006366,micron,498,247,31,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 24/Male WTcell 24_3ADVMLEG1L1_ch2.tif,0.00877697965973903,wt,male,21,239646,2103.3680675378196,47901,420.42610268115925,151224,1327.289972064375,718,0,718,90,487,1163.2473447413306,1163.2473447413306,145.71188934334717,772.368544534085,0.5530403179045195,2.766829503028047,0.8764078454778771
200414,WT Male,Cell 25,Male WTcell 25_3ADVMLEG1L1_ch2.tif,0.16572817562943976,0.16572817562943976,0.43000000000006366,micron,498,216,27,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 25/Male WTcell 25_3ADVMLEG1L1_ch2.tif,0.011810306124910594,wt,male,22,227089,2681.990607599822,44350,523.7870766397848,144516,1706.7781999475794,803,0,803,114,539,1425.3530774994006,1425.3530774994006,204.6505642334357,930.2117051480154,0.5314534187630818,2.7212452178915334,0.8351132429176665
200414,WT Male,Cell 26,Male WTcell 26_3ADVMLEG1L1_ch2.tif,0.12555164252936338,0.12555164252936338,0.43000000000006366,micron,507,275,26,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 26/Male WTcell 26_3ADVMLEG1L1_ch2.tif,0.006778182424984054,wt,male,23,401218,2719.5287961872523,86610,587.0583798278689,249402,1690.492253155873,1029,0,1029,72,797,1594.1694124473572,1594.1694124473572,91.97383428582808,1221.755536146359,0.5861932459337678,2.7155210916413166,0.9430208328203239
200414,WT Male,Cell 27,Male WTcell 27_3ADVMLEG1L1_ch2.tif,0.17263351389647996,0.17263351389647996,0.43000000000006366,micron,511,247,27,/Users/cudmore/Desktop/samiVolume2/200414/WT Male/Cell 27/Male WTcell 27_3ADVMLEG1L1_ch2.tif,0.012815001951707738,wt,male,24,247734,3174.7116935043646,45933,588.6314846477916,159406,2042.7882011139236,551,0,551,54,425,1131.6994202005533,1131.6994202005533,100.72238913427724,855.7942993230408,0.35647313188031304,1.922594101261347,0.5539974333038749
