,myCellNumber,filename,genotype,sex,branchType,len3d,euclideanDist,tortuosity,path
4180,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.054343626800755,0.9598516576029493,1.0984443465293188,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4181,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.2608923530918155,0.9598516576029493,1.3136325213425784,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4182,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,4.2803844101960635,3.3979697321462217,1.2596887987852947,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4183,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,0.8145128102745169,0.8104848309744435,1.0049698392198538,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4184,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.388627634814657,1.2049391525058664,1.1524462724335751,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4185,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,0.7701630238100458,0.6573017592358558,1.1717038833204958,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4186,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,2.878549428374341,1.138722040999695,2.5278771506409368,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4187,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,0.8739351792408532,0.8711114725394148,1.0032414986950027,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4188,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,3.410917278160652,2.872255719848434,1.1875395545702463,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4189,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.1196886270625916,1.0469456936286003,1.0694810952245977,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4190,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.7105327927092406,0.8963663102515025,1.908296611715917,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4191,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.597873557830121,0.8963663102515025,1.7826122418431698,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4192,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.8352455255771254,1.1058224801596932,1.6596203807613816,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4193,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,2.224808492899677,1.1058224801596932,2.011903838831699,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4194,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,3,1.2756986883083985,0.0,inf,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4195,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.3149586996865807,0.9954091006255494,1.321023385118958,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4196,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,0.612513645450366,0.5259671516192623,1.16454733639669,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4197,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,3.304968093433044,2.3331425508359684,1.416530718300461,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4198,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,1.1836571947861587,0.5259671516192623,2.25043938797719,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
4199,3,Female WT cell 1_3ADVMLEG1L1_ch2.tif,wt,female,2,2.3048337793055955,1.2459487731829515,1.8498623931524674,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif
