graphID,length_3d,dist,tort
0,4.822079,10.000000,0.482208
0,4.677764,10.000000,0.467776
0,1.157180,6.082763,0.190239
0,3.323408,9.486833,0.350318
0,0.294194,2.236068,0.131567
0,1.820364,6.000000,0.303394
0,4.917710,13.928388,0.353071
0,2.080397,7.280110,0.285765
0,3.031631,11.224972,0.270079
0,3.785793,9.695360,0.390475
0,2.380199,9.695360,0.245499
0,3.228297,12.569805,0.256830
0,7.853301,13.266499,0.591965
0,3.272828,13.266499,0.246699
0,3.247280,14.696938,0.220949
0,2.594121,9.848858,0.263393
0,1.443501,7.071068,0.204142
0,2.697298,7.000000,0.385328
0,4.359851,18.384776,0.237145
0,0.913462,4.123106,0.221547
0,1.340182,3.162278,0.423803
0,1.718100,6.480741,0.265109
0,2.067362,8.124038,0.254475
0,1.323249,3.316625,0.398974
0,2.892685,12.083046,0.239400
0,2.744735,12.247449,0.224107
0,2.701930,11.224972,0.240707
0,4.115436,12.247449,0.336024
0,3.623639,6.782330,0.534276
0,2.876898,8.124038,0.354122
0,2.303207,8.831761,0.260787
0,2.114558,6.403124,0.330238
0,2.157567,10.630146,0.202967
0,1.991958,7.615773,0.261557
0,5.120068,15.556349,0.329130
0,2.418659,7.000000,0.345523
0,0.466528,3.605551,0.129392
0,2.595652,6.403124,0.405373
0,1.254851,3.605551,0.348033
0,1.204376,4.898979,0.245842
0,2.585679,10.000000,0.258568
0,1.911342,7.681146,0.248836
0,2.942070,11.357817,0.259035
0,0.862986,4.242641,0.203408
0,1.066202,3.741657,0.284954
0,0.659770,5.099020,0.129392
0,1.326235,5.000000,0.265247
0,0.926497,3.464102,0.267457
0,0.588387,4.472136,0.131567
0,1.271166,4.898979,0.259476
0,0.926497,3.464102,0.267457
0,1.804419,9.848858,0.183211
0,2.009014,5.744563,0.349724
0,3.216669,12.041595,0.267130
0,2.255943,9.433981,0.239129
0,1.828721,5.385165,0.339585
0,3.753797,9.165151,0.409573
0,0.926497,2.828427,0.327566
0,5.153381,0.000000,inf
0,2.452940,11.180340,0.219398
0,0.690651,3.162278,0.218403
0,1.435563,4.242641,0.338365
0,0.926497,2.828427,0.327566
0,0.926497,2.828427,0.327566
0,1.098832,3.162278,0.347481
0,2.601994,9.000000,0.289110
0,1.220691,5.385165,0.226677
0,0.910182,2.236068,0.407046
0,1.925290,4.472136,0.430508
0,1.787116,4.472136,0.399611
0,2.696679,6.403124,0.421151
0,1.357116,4.358899,0.311344
0,2.387766,8.366600,0.285393
0,0.926497,2.828427,0.327566
0,3.765867,12.449900,0.302482
0,3.041055,4.123106,0.737564
0,1.891269,4.123106,0.458700
0,5.256777,10.488088,0.501214
0,1.373431,4.242641,0.323721
0,1.927657,8.124038,0.237278
0,2.480135,9.797959,0.253128
0,1.254851,5.385165,0.233020
0,0.934369,5.099020,0.183245
0,2.611967,7.071068,0.369388
0,2.821524,9.273618,0.304253
0,1.805798,6.403124,0.282018
0,3.232984,11.661904,0.277226
0,5.005785,8.062258,0.620891
0,5.029567,18.055470,0.278562
0,3.557692,8.544004,0.416396
0,3.287172,10.677078,0.307872
0,1.496365,3.741657,0.399920
0,5.483701,19.000000,0.288616
0,4.671191,8.544004,0.546722
0,2.252732,8.306624,0.271197
0,3.643389,8.124038,0.448470
0,0.828825,4.242641,0.195356
0,2.544558,5.830952,0.436388
0,0.757442,3.741657,0.202435
0,4.516425,11.357817,0.397649
0,3.913235,10.816654,0.361779
0,1.999040,5.099020,0.392044
0,2.387043,9.165151,0.260448
0,2.114558,7.810250,0.270741
0,1.340182,3.741657,0.358179
0,2.719757,8.062258,0.337344
0,4.632182,13.638182,0.339648
0,0.757442,3.741657,0.202435
0,1.400897,8.062258,0.173760
0,2.083677,7.000000,0.297668
0,1.376710,5.830952,0.236104
0,2.961229,9.643651,0.307065
0,1.495290,4.123106,0.362661
0,3.182508,11.090537,0.286957
0,1.495290,5.385165,0.277668
0,1.376710,6.000000,0.229452
0,4.147005,13.490738,0.307396
0,1.651309,6.782330,0.243472
0,1.204376,5.744563,0.209655
0,2.544851,5.099020,0.499086
0,3.965050,12.083046,0.328150
0,2.186853,5.000000,0.437371
0,1.911342,7.681146,0.248836
0,2.006782,5.000000,0.401356
0,1.440047,6.164414,0.233606
0,1.015726,3.000000,0.338575
0,4.076375,10.344080,0.394078
0,3.879679,12.884099,0.301121
0,2.275566,7.681146,0.296253
0,2.453993,8.366600,0.293308
0,2.974634,13.747727,0.216373
0,1.634376,5.385165,0.303496
0,2.165033,8.246211,0.262549
0,0.910182,2.236068,0.407046
0,2.130873,4.000000,0.532718
0,1.204376,4.000000,0.301094
0,1.654589,7.874008,0.210133
0,2.854306,11.045361,0.258417
0,2.587427,12.409674,0.208501
0,2.455947,8.062258,0.304623
0,2.735917,6.324555,0.432587
0,0.344669,2.828427,0.121859
0,0.950684,5.196152,0.182959
0,1.393025,5.744563,0.242495
0,1.032041,2.828427,0.364882
0,0.706966,3.316625,0.213158
0,1.478975,5.099020,0.290051
0,3.785341,8.774964,0.431380
